address,latitude,longitude,number_of_raids,proportion_no_action,raid_dates_and_resolutions
1183 BROADWAY Brooklyn,40.69273954,-73.92721339,7,0.14285714285714285,"[('2017-05-20', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-05-14', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2017-05-20', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2017-05-20', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2015-05-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2017-05-20', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-05-14', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
1186 BROADWAY Brooklyn,40.69238438,-73.92762747,1,1.0,"[('2016-06-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1186 EVERGREEN AVENUE Bronx,40.82819511,-73.88070443,9,0.0,"[('2017-02-04', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2017-02-04', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-04-14', 'VACATE'), ('2013-05-16', 'VACATE'), ('2013-05-16', 'VACATE'), ('2014-01-03', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2017-02-04', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2017-02-04', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2013-01-26', 'VACATE')]"
1187 AMSTERDAM AVENUE Manhattan,40.80815347,-73.95967997,1,1.0,"[('2012-12-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1188 BEDFORD AVENUE Brooklyn,40.68339769,-73.95422416,1,1.0,"[('2017-02-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1188 BROADWAY Brooklyn,40.69238438,-73.92762747,1,0.0,"[('2015-06-20', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED')]"
1189 BROADWAY Brooklyn,40.69265324,-73.92706608,1,1.0,"[('2014-05-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
119 EAST 157 STREET Bronx,40.82575824,-73.92633871,2,0.5,"[('2013-01-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-12-06', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV & PARTIAL VACATE ISSUED P')]"
119 EAST 233 STREET Bronx,40.89662654,-73.87176107,1,1.0,"[('2014-09-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1195 PRESIDENT STREET Brooklyn,40.66818537,-73.95035552,1,1.0,"[('2013-05-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1199 NOSTRAND AVENUE Brooklyn,40.65809042,-73.95002668,3,0.3333333333333333,"[('2013-05-31', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2013-01-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-05-31', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
12 JEFFERSON STREET Brooklyn,40.69735397,-73.93468645,2,0.0,"[('2014-09-28', 'MARCH: NO PA PERMIT/ECB NOV & PARTIAL VACATE ISSUED P'), ('2014-09-28', 'MARCH: NO PA PERMIT/ECB NOV & PARTIAL VACATE ISSUED P')]"
12 SPRING STREET Manhattan,40.72111786,-73.99463838,1,1.0,"[('2014-01-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
12 WEST 45 STREET Manhattan,40.75557404,-73.98046512,2,0.0,"[('2014-04-04', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-04-04', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
120-04 ROCKAWAY BOULEVARD Queens,40.67572601,-73.81798087,3,0.0,"[('2016-03-19', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-03-19', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-03-19', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
120-06 LIBERTY AVENUE Queens,40.68644329,-73.82292537,1,1.0,"[('2014-04-26', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
120-12 LIBERTY AVENUE Queens,40.686536700000005,-73.82273937,1,1.0,"[('2015-03-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1201 MANOR AVENUE Bronx,40.82915176,-73.87682515,1,1.0,"[('2014-06-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1205 FOREST AVENUE Staten Island,40.62666317,-74.13015379,1,0.0,"[('2012-08-17', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
1206 STRATFORD AVENUE Bronx,40.829593200000005,-73.87530179,2,1.0,"[('2015-02-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-02-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1207 AMSTERDAM AVENUE Manhattan,40.80875863,-73.95914217,1,0.0,"[('2012-12-01', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
121 ESSEX STREET Manhattan,40.7196566,-73.98791491,1,1.0,"[('2012-08-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
122 RIVINGTON STREET Manhattan,40.71987679,-73.98709494,2,0.0,"[('2013-02-15', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2013-02-15', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
122 WEST 118 STREET Manhattan,40.80359099,-73.94994251,1,1.0,"[('2013-01-05', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
123 WEST KINGSBRIDGE ROAD Bronx,40.8690056,-73.90239904,1,1.0,"[('2012-07-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1233 FLATBUSH AVENUE Brooklyn,40.64026723,-73.95494054,4,1.0,"[('2014-01-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-06-30', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-01-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-11-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1236 ROGERS AVENUE Brooklyn,40.63966684,-73.95160801,2,0.0,"[('2014-01-17', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2014-01-17', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED')]"
1237 CASTLE HILL AVENUE Bronx,40.83286727,-73.85157596,2,0.0,"[('2015-02-06', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2015-02-07', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED')]"
124 EAST 183 STREET Bronx,40.85773219,-73.90125901,1,1.0,"[('2016-07-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
124-02 JAMAICA AVENUE Queens,40.70060929,-73.82628869,1,1.0,"[('2015-10-25', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
124-04 LIBERTY AVENUE Queens,40.68768615,-73.81978311,1,1.0,"[('2013-09-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
124-12 101 AVENUE Queens,40.69106337,-73.82121964,2,0.0,"[('2015-02-14', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-02-14', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED')]"
124-20 LIBERTY AVENUE Queens,40.68782323,-73.81933769999999,2,0.0,"[('2014-04-25', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV & PARTIAL VACATE ISSUED P'), ('2014-04-25', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV & PARTIAL VACATE ISSUED P')]"
1242 SAINT NICHOLAS AVENUE Manhattan,40.84353626,-73.93749809,1,1.0,"[('2012-12-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1246 EAST GUN HILL ROAD Bronx,40.87226364,-73.85126414,2,1.0,"[('2014-04-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-08-16', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1246 EAST GUNHILL ROAD Bronx,40.87226364,-73.85126414,1,1.0,"[('2017-02-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1246 GUNHILL ROAD Bronx,40.87226364,-73.85126414,2,1.0,"[('2016-08-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-01-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1248 MYRTLE AVENUE Brooklyn,40.69767815,-73.92749083,1,1.0,"[('2016-05-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
125 EAST 11 STREET Manhattan,40.73177385,-73.98909361,3,1.0,"[('2014-04-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-12-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-03-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
125 ST MARKS PLACE Manhattan,40.72690943,-73.98318088,1,0.0,"[('2014-09-19', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
125-04 LIBERTY AVENUE Queens,40.68796069,-73.81905118,2,1.0,"[('2015-03-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-07-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
125-06 LIBERTY AVENUE Queens,40.68798165,-73.81898946,1,0.0,"[('2014-09-12', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
125-15 JAMAICA AVENUE Queens,40.70133506,-73.82515813,2,1.0,"[('2012-07-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-08-02', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
125-17 ROCKAWAY BOULEVARD Queens,40.67560689,-73.81220925,2,1.0,"[('2013-09-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-07-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
125-22 MERRICK BOULEVARD Queens,40.68194916,-73.76679645,1,1.0,"[('2015-08-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1250 MORRISON AVENUE Bronx,40.83107235,-73.87468717,2,1.0,"[('2013-01-26', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-04-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1257 AMSTERDAM AVENUE Manhattan,40.81010787,-73.95808455,1,0.0,"[('2012-12-01', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
126-19 MERRICK BOULEVARD Queens,40.68189855,-73.76556148,9,0.6666666666666666,"[('2015-08-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2017-05-07', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2016-04-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-03-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-01-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-10-28', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2017-05-13', 'NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION'), ('2015-02-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-06-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1260 MYRTLE AVENUE Brooklyn,40.69772537,-73.92688734,1,0.0,"[('2012-06-08', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
1264 MYRTLE AVENUE Brooklyn,40.69776939,-73.92674997,1,0.0,"[('2012-06-08', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED')]"
127 EAST 47 STREET Manhattan,40.75461602,-73.97320543,1,1.0,"[('2013-11-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
127-08 MERRICK BOULEVARD Queens,40.68093685,-73.76512047,1,1.0,"[('2012-10-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
127-23 MERRICK BOULEVARD Queens,40.68163947,-73.76502841,1,1.0,"[('2016-04-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1271 MYRTLE AVENUE Brooklyn,40.69799077,-73.92797157,3,0.0,"[('2017-02-09', 'VACATE'), ('2016-09-08', 'VACATE'), ('2013-09-21', 'VACATE')]"
1272 BROADWAY Brooklyn,40.69086353,-73.92496984,5,0.2,"[('2013-08-23', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-06-10', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-06-10', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-06-10', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-06-10', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
128 EAST 174 STREET Bronx,40.84467486,-73.91005084,2,1.0,"[('2013-01-04', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-10-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
128 WYCKOFF AVENUE Brooklyn,40.70329354,-73.9180686,4,0.75,"[('2014-09-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-09-27', 'ADMINISTRATIVE CLOSURE NN'), ('2014-01-24', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-05-09', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1285 SHAKESPEARE AVENUE Bronx,40.83944607,-73.92272534,2,1.0,"[('2013-08-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-07-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1288 WESTCHESTER AVENUE Bronx,40.82707025,-73.88652114,2,1.0,"[('2012-09-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-03-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
129 AVENUE C Manhattan,40.72493195,-73.97854061,1,1.0,"[('2017-01-15', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
129 LEXINGTON AVENUE Manhattan,40.74290629,-73.98195704,1,1.0,"[('2014-11-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
129-06 LIBERTY AVENUE Queens,40.68915945,-73.81591461,3,0.6666666666666666,"[('2013-09-28', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-09-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-03-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1292 WESTCHESTER AVENUE Bronx,40.82707025,-73.88652114,1,1.0,"[('2015-11-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1298 WESTCHESTER AVENUE Bronx,40.82707025,-73.88652114,1,1.0,"[('2013-03-17', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
130 LINCOLN AVENUE Staten Island,40.57891187,-74.10830398,1,1.0,"[('2017-03-24', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
130 WEST 42 STREET Manhattan,40.75496272,-73.98563894,1,1.0,"[('2015-02-22', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
130-18 101 AVENUE Queens,40.69240696,-73.81642893,1,1.0,"[('2013-09-13', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
130-35 91 AVENUE Queens,40.69877705,-73.81937745,4,0.5,"[('2017-04-01', 'MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED'), ('2012-07-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-01-19', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2016-03-20', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
130-35 91 STREET Queens,,,1,0.0,"[('2013-01-19', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED')]"
1300 EAST 222 STREET Bronx,40.87880819,-73.8431184,5,0.0,"[('2017-07-15', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2017-07-15', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2016-02-19', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2017-07-15', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2017-07-15', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
1306 JEROME AVENUE Bronx,40.83806419,-73.91882640000001,5,0.6,"[('2013-05-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2017-01-29', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2012-07-20', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-06-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2013-12-06', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
1306 UNIONPORT ROAD Bronx,40.83449159,-73.85354025,1,1.0,"[('2013-04-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1308 UTICA AVENUE Brooklyn,40.64067832,-73.92955681,1,0.0,"[('2013-02-15', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
131 AVENUE C Manhattan,40.72498104,-73.97850453,2,0.5,"[('2013-05-23', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED'), ('2016-07-30', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
131 CHRYSTIE STREET Manhattan,40.71950526,-73.99351993,3,1.0,"[('2017-04-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-07-26', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-01-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
131-1 FOWLER AVENUE Queens,40.75164757,-73.83544542,1,1.0,"[('2012-09-29', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
131-10 11 AVENUE Queens,40.78746931,-73.83692332,1,1.0,"[('2017-05-19', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
131-12 ROCKAWAY BOULEVARD Queens,40.67459041,-73.80695643,1,0.0,"[('2015-03-21', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
131-15 JAMAICA AVENUE Queens,40.70233501,-73.82062156,6,0.16666666666666666,"[('2015-10-24', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-10-01', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2016-10-01', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2016-10-01', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2016-10-01', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2016-10-16', 'MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED')]"
131-34 MERRICK BOULEVARD Queens,40.67888591,-73.76059559999999,1,1.0,"[('2014-01-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
131-35 FOWLER AVENUE Queens,40.75192961,-73.83370389,4,0.0,"[('2016-01-16', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-01-16', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-01-16', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-01-16', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
132 9 AVENUE Manhattan,40.74354096,-74.00310904,3,0.0,"[('2013-09-27', 'MARCH: NO PA PERMIT/ECB NOV ISSUED'), ('2013-09-27', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2013-09-27', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
132 AUDUBON AVENUE Manhattan,40.84285258,-73.93700078,2,1.0,"[('2012-12-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2016-09-24', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1320 EAST GUN HILL ROAD Bronx,40.87117815,-73.84813659999999,1,1.0,"[('2012-08-14', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1320 EAST GUNHILL ROAD Bronx,40.87117815,-73.84813659999999,2,1.0,"[('2015-05-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-08-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1320 GUNHILL ROAD Bronx,40.87117815,-73.84813659999999,1,1.0,"[('2013-01-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1322 EAST GUNHILL ROAD Bronx,40.87098171,-73.84771531,1,1.0,"[('2014-08-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
133-31 227 STREET Queens,40.67716316,-73.74266122,1,1.0,"[('2015-11-07', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
133-44 37 AVENUE Queens,40.76053408,-73.83333269,1,0.0,"[('2012-09-29', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
133-45 ROOSEVELT AVENUE Queens,40.75888947,-73.83278023,1,0.0,"[('2016-09-17', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
133-48 37 AVENUE Queens,40.76058328,-73.83320129,1,0.0,"[('2012-09-29', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
1332 ATLANTIC AVENUE Brooklyn,40.67810559,-73.94839051,2,1.0,"[('2016-12-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-09-12', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
134 WEST 46 STREET Manhattan,40.75785475,-73.983937,1,0.0,"[('2015-05-29', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
1341 SAINT NICHOLAS AVENUE Manhattan,40.84704234,-73.93580726,1,1.0,"[('2012-12-08', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1341 ST NICHOLAS AVENUE Manhattan,40.84704234,-73.93580726,1,1.0,"[('2013-04-26', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1346 E L GRANT HIGHWAY Bronx,40.84079622,-73.92137785,1,1.0,"[('2017-01-28', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
135-06 LIBERTY AVENUE Queens,40.69141965,-73.81149447,1,0.0,"[('2015-03-21', 'NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION')]"
1350 JEROME AVENUE Bronx,40.83897693,-73.91796336,2,0.5,"[('2013-05-04', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2012-06-01', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1350 SHAKESPEARE AVENUE Bronx,40.84053704,-73.92204009999999,1,1.0,"[('2014-07-18', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1353 E L GRANT HIGHWAY Bronx,40.84014676,-73.92170051,11,0.0,"[('2016-05-08', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-05-09', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-05-09', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-05-09', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-05-09', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-05-09', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2016-02-07', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2015-05-09', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-05-09', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-05-09', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED'), ('2015-05-09', 'MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED')]"
1353 EDWARD L GRANT HIGHWAY Bronx,40.84014676,-73.92170051,2,0.5,"[('2015-10-31', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2012-10-06', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
136-59 37 AVENUE Queens,40.76229234,-73.82901782,1,0.0,"[('2016-01-17', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
137 SCHENECTADY AVENUE Brooklyn,40.67440798,-73.93307059,4,0.25,"[('2017-06-02', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED'), ('2017-02-26', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2016-12-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2017-06-02', 'MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED')]"
1370 ROCKAWAY PARKWAY Brooklyn,40.64613428,-73.90378471,1,1.0,"[('2017-01-27', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1373 FLATBUSH AVENUE Brooklyn,40.63755797,-73.95225859,1,1.0,"[('2012-06-30', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1378 BRONX RIVER AVENUE Bronx,40.83335458,-73.87968101,1,1.0,"[('2014-06-21', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
138 LUDLOW STREET Manhattan,40.72039555,-73.98793112,1,1.0,"[('2017-06-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
138 WEST 25 STREET Manhattan,40.74471125,-73.99363775,1,1.0,"[('2014-01-19', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
138 WEST 29 STREET Manhattan,40.74713594,-73.99178469,1,0.0,"[('2015-12-06', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED')]"
138-11 JAMAICA AVENUE Queens,40.70270134,-73.81491467,1,1.0,"[('2014-04-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
1388 EDWARD L GRANT HIGHWAY Bronx,40.84188119,-73.92204725,1,1.0,"[('2012-10-06', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
139-31 JAMAICA AVENUE Queens,,,2,0.0,"[('2012-06-09', 'MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED'), ('2014-09-14', 'MARCH: NO PA PERMIT/ECB NOV ISSUED')]"
139-37 JAMAICA AVENUE Queens,40.70251944,-73.81177472,3,1.0,"[('2016-04-03', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2014-04-11', 'MARCH: NO ENFORCEMENT ACTION TAKEN'), ('2015-06-26', 'MARCH: NO ENFORCEMENT ACTION TAKEN')]"
